unique_id,transaction_id,date,year,month,day,dow,quarter,customer_id,product_id,product_name,category_id,category_name,parent_id,parent_name,product_count,site_id,site_name,address,city,zip,latitude,longitude,site_status,revenue,gross_profit,gp_margin,costs,units,state_province_code
1155866,20161209|423|2|2|1806109,2017-03-04,2017,3,4,Saturday,1,NA,15196,AR TIC TAC TRIPLER 368,138,Gaming-lottery (scratch Tickt) (272),175,Lottery (360),1575,192,423 Adamsville,2473 Hackworth Road,Adamsville,35005,34.5253,-91.3257,ACTIVE,4,0.2,0.05,3.8,2,AL
2759257,20190902|423|1|2|3803575,2019-11-26,2019,11,26,Tuesday,4,NA,216,MT DEW 20OZ,250,Pk Bev-csd/pop (71),243,Pop (587),448,192,423 Adamsville,2473 Hackworth Road,Adamsville,35005,34.5253,-91.3257,ACTIVE,1.99,0.80883,0.4064472,1.18117,1,AL
2531562,20170304|423|1|100|1974325,2017-05-28,2017,5,28,Sunday,2,4357.728,19020,No Lead Plus,1,Fuel Premuim,78,Fuel,68,192,423 Adamsville,2473 Hackworth Road,Adamsville,35005,34.5253,-91.3257,ACTIVE,39.75,5.8779,0.1478717,33.8721,19.593,AL
1155885,20180711|423|1|100|2925137,2018-10-04,2018,10,4,Thursday,4,6774.49,19002,GE85,1,Fuel Premuim,78,Fuel,68,192,423 Adamsville,2473 Hackworth Road,Adamsville,35005,34.5253,-91.3257,ACTIVE,38.98,6,0.1539251,32.98,20,AL
1155020,20181017|423|1|2|3150414,2019-01-10,2019,1,10,Thursday,1,NA,15298,AR BIG MULTIPLIER 470,138,Gaming-lottery (scratch Tickt) (272),175,Lottery (360),1575,192,423 Adamsville,2473 Hackworth Road,Adamsville,35005,34.5253,-91.3257,ACTIVE,10,0.5,0.05,9.5,1,AL
2682471,20170825|423|3|1|2337854,2017-11-18,2017,11,18,Saturday,4,2002.756,5538,MEDIUM FTN,152,Cold Bev-retail (311),233,Cold Dispensed Beverage,11,192,423 Adamsville,2473 Hackworth Road,Adamsville,35005,34.5253,-91.3257,ACTIVE,1,0.208188,0.208188,0.791812,1,AL
2234830,20180715|423|3|1|2934892,2018-10-08,2018,10,8,Monday,4,7928.658,18980,G87E10S,1,Fuel Premuim,78,Fuel,68,192,423 Adamsville,2473 Hackworth Road,Adamsville,35005,34.5253,-91.3257,ACTIVE,20,2.3265,0.116325,17.6735,7.755,AL
1148589,20161113|423|1|1|1739257,2017-02-06,2017,2,6,Monday,1,6585.582,13648,DT DR PEPPER 20OZ,250,Pk Bev-csd/pop (71),243,Pop (587),448,192,423 Adamsville,2473 Hackworth Road,Adamsville,35005,34.5253,-91.3257,ACTIVE,1.79,0.69061,0.3858157,1.09939,1,AL
1153366,20171215|423|2|2|2546023,2018-03-10,2018,3,10,Saturday,1,NA,3419,MUNCHI CHDR CRCKR 1.38OZ,57,Crackers,5,Salty Snacks,56,192,423 Adamsville,2473 Hackworth Road,Adamsville,35005,34.5253,-91.3257,ACTIVE,1.18,0.48,0.4067797,0.7,2,AL
1157663,20181001|423|2|2|3114079,2018-12-25,2018,12,25,Tuesday,4,NA,10411,WTR 1LT,255,Bottled Water,150,Juice/tonics,174,192,423 Adamsville,2473 Hackworth Road,Adamsville,35005,34.5253,-91.3257,ACTIVE,1.49,1.14659,0.7695235,0.34341,1,AL
2234740,20190211|423|2|2|3370957,2019-05-07,2019,5,7,Tuesday,2,NA,18980,G87E10S,1,Fuel Premuim,78,Fuel,68,192,423 Adamsville,2473 Hackworth Road,Adamsville,35005,34.5253,-91.3257,ACTIVE,10,1.5393,0.15393,8.4607,5.131,AL
1145198,20180826|423|3|1|3032349,2018-11-19,2018,11,19,Monday,4,5507.92,3006,MARLB SPCL SLCT GLD 100 BX,206,Cig-off Inv-premium (441),11,Off Invoice Cigs (104),199,192,423 Adamsville,2473 Hackworth Road,Adamsville,35005,34.5253,-91.3257,ACTIVE,6.61,0.74978,0.1134312,5.86022,1,AL
1152674,20180607|423|5|2|2856490,2018-08-31,2018,8,31,Friday,3,NA,10991,ITALIAN HERO,274,Cold Food,273,Cold Sandwiches,34,192,423 Adamsville,2473 Hackworth Road,Adamsville,35005,34.5253,-91.3257,ACTIVE,4.49,3.452,0.7688196,1.038,1,AL
2531513,20161221|423|1|100|1837863,2017-03-16,2017,3,16,Thursday,1,NA,19020,No Lead Plus,1,Fuel Premuim,78,Fuel,68,192,423 Adamsville,2473 Hackworth Road,Adamsville,35005,34.5253,-91.3257,ACTIVE,15.17,2.2107,0.1457284,12.9593,7.369,AL
1145982,20181009|423|3|1|3132020,2019-01-02,2019,1,2,Wednesday,1,8419.478,5739,NABISC NTR BTR KS CKIE 3.5OZ,62,Cookies,29,Cookies,104,192,423 Adamsville,2473 Hackworth Road,Adamsville,35005,34.5253,-91.3257,ACTIVE,1.99,0.965,0.4849246,1.025,1,AL
2579499,20180717|423|3|1|2938158,2018-10-10,2018,10,10,Wednesday,4,NA,6507,LOTTO,137,Lotto (271),136,Lotto (271),2,192,423 Adamsville,2473 Hackworth Road,Adamsville,35005,34.5253,-91.3257,ACTIVE,4,4,1,0,1,AL
2759240,20170818|423|3|2|2322800,2017-11-11,2017,11,11,Saturday,4,NA,216,MT DEW 20OZ,250,Pk Bev-csd/pop (71),243,Pop (587),448,192,423 Adamsville,2473 Hackworth Road,Adamsville,35005,34.5253,-91.3257,ACTIVE,1.5,0.38052,0.25368,1.11948,1,AL
