postal_code,state_province,state_province_code,country_name
36420,Alabama,AL,USA
35611,Alabama,AL,USA
35954,Alabama,AL,USA
36830,Alabama,AL,USA
36507,Alabama,AL,USA
35022,Alabama,AL,USA
35209,Alabama,AL,USA
35210,Alabama,AL,USA
35235,Alabama,AL,USA
35206,Alabama,AL,USA
35957,Alabama,AL,USA
35034,Alabama,AL,USA
36426,Alabama,AL,USA
35040,Alabama,AL,USA
35215,Alabama,AL,USA
35960,Alabama,AL,USA
35043,Alabama,AL,USA
35045,Alabama,AL,USA
35055,Alabama,AL,USA
36526,Alabama,AL,USA
35603,Alabama,AL,USA
36732,Alabama,AL,USA
36301,Alabama,AL,USA
36303,Alabama,AL,USA
36330,Alabama,AL,USA
36027,Alabama,AL,USA
35064,Alabama,AL,USA
36533,Alabama,AL,USA
35555,Alabama,AL,USA
35630,Alabama,AL,USA
36535,Alabama,AL,USA
35968,Alabama,AL,USA
35903,Alabama,AL,USA
35071,Alabama,AL,USA
36340,Alabama,AL,USA
36037,Alabama,AL,USA
36542,Alabama,AL,USA
35976,Alabama,AL,USA
35565,Alabama,AL,USA
35570,Alabama,AL,USA
35640,Alabama,AL,USA
35244,Alabama,AL,USA
35242,Alabama,AL,USA
35023,Alabama,AL,USA
35801,Alabama,AL,USA
35803,Alabama,AL,USA
35810,Alabama,AL,USA
35763,Alabama,AL,USA
35806,Alabama,AL,USA
36545,Alabama,AL,USA
36265,Alabama,AL,USA
35501,Alabama,AL,USA
35094,Alabama,AL,USA
35758,Alabama,AL,USA
36054,Alabama,AL,USA
36609,Alabama,AL,USA
36606,Alabama,AL,USA
36695,Alabama,AL,USA
36619,Alabama,AL,USA
36460,Alabama,AL,USA
36117,Alabama,AL,USA
36116,Alabama,AL,USA
36107,Alabama,AL,USA
35650,Alabama,AL,USA
35661,Alabama,AL,USA
35476,Alabama,AL,USA
35121,Alabama,AL,USA
36801,Alabama,AL,USA
36203,Alabama,AL,USA
36360,Alabama,AL,USA
35124,Alabama,AL,USA
35125,Alabama,AL,USA
36867,Alabama,AL,USA
36066,Alabama,AL,USA
36274,Alabama,AL,USA
35653,Alabama,AL,USA
36571,Alabama,AL,USA
35768,Alabama,AL,USA
36703,Alabama,AL,USA
35146,Alabama,AL,USA
35148,Alabama,AL,USA
35150,Alabama,AL,USA
35160,Alabama,AL,USA
36078,Alabama,AL,USA
36784,Alabama,AL,USA
36575,Alabama,AL,USA
36081,Alabama,AL,USA
35405,Alabama,AL,USA
36854,Alabama,AL,USA
35216,Alabama,AL,USA
36092,Alabama,AL,USA
35594,Alabama,AL,USA
82070-9996,Wyoming,WY,USA
50651-1357,Iowa,IA,USA
50613-9998,Iowa,IA,USA
50667-7727,Iowa,IA,USA
50643-9719,Iowa,IA,USA
50702-4368,Iowa,IA,USA
50701-4303,Iowa,IA,USA
50634-7726,Iowa,IA,USA
50623-5000,Iowa,IA,USA
50703-1005,Iowa,IA,USA
50212-2086,Iowa,IA,USA
50223-7730,Iowa,IA,USA
50040-7700,Iowa,IA,USA
50031-7700,Iowa,IA,USA
50036-2923,Iowa,IA,USA
50156-1225,Iowa,IA,USA
50668-7733,Iowa,IA,USA
50677-9998,Iowa,IA,USA
50631-5000,Iowa,IA,USA
50647-7738,Iowa,IA,USA
50622-7706,Iowa,IA,USA
50674-1443,Iowa,IA,USA
50648-7703,Iowa,IA,USA
52326-9719,Iowa,IA,USA
50682-7705,Iowa,IA,USA
52210-9760,Iowa,IA,USA
50644-1857,Iowa,IA,USA
50607-9756,Iowa,IA,USA
50629-8623,Iowa,IA,USA
52329-9802,Iowa,IA,USA
50650-9041,Iowa,IA,USA
50641-9504,Iowa,IA,USA
50565-5005,Iowa,IA,USA
50568-5022,Iowa,IA,USA
50510-1217,Iowa,IA,USA
50576-5003,Iowa,IA,USA
50588-2396,Iowa,IA,USA
51033-1019,Iowa,IA,USA
56431-1407,Minnesota,MN,USA
68925-9700,Nebraska,NE,USA
80022-5315,Colorado,CO,USA
80601-1932,Colorado,CO,USA
80010-9998,Colorado,CO,USA
80640-9998,Colorado,CO,USA
80234-9998,Colorado,CO,USA
51002-9901,Iowa,IA,USA
50585-2056,Iowa,IA,USA
50592-5001,Iowa,IA,USA
50605-8402,Iowa,IA,USA
50602-7708,Iowa,IA,USA
50665-7732,Iowa,IA,USA
50604-7705,Iowa,IA,USA
50670-7780,Iowa,IA,USA
50619-7748,Iowa,IA,USA
65772-9998,Missouri,MO,USA
68901-9102,Nebraska,NE,USA
68955-5530,Nebraska,NE,USA
58649-9998,North Dakota,ND,USA
58639-9998,North Dakota,ND,USA
72544-9998,Arkansas,AR,USA
72658-9998,Arkansas,AR,USA
72635-9998,Arkansas,AR,USA
72653-9998,Arkansas,AR,USA
72651-9998,Arkansas,AR,USA
72642-9998,Arkansas,AR,USA
72617-8720,Arkansas,AR,USA
72722-9998,Arkansas,AR,USA
72739-9998,Arkansas,AR,USA
50625-1035,Iowa,IA,USA
50636-7758,Iowa,IA,USA
68950-5065,Nebraska,NE,USA
68973-1840,Nebraska,NE,USA
68761-9761,Nebraska,NE,USA
68726-5425,Nebraska,NE,USA
68756-9998,Nebraska,NE,USA
68764-6302,Nebraska,NE,USA
68636-4458,Nebraska,NE,USA
68720-3072,Nebraska,NE,USA
