unique_id,transaction_id,unformatted_date,customer_id,product_id,product_name,category_id,category_name,parent_id,parent_name,product_count,site_id,site_name,address,city,zip,latitude,longitude,site_status,revenue,gross_profit,costs,units
2612027,20181219|562|3|2|4909048,3/14/19,6977.63,2179,HOT DOG FCS,280,Roller Grill Food,279,Roller Grill,9,297,562 Columbia,101 S Providence Rd,Columbia,65203,38.9509,-92.3362,ACTIVE,2.09,0.732,1.358,2
1281537,20170721|497|1|4|1771950,10/14/17,1240.056,917,32OZ KOOLEE REFILL,158,Carbonated Drinks,234,Frozen Dispensed Beverage,10,257,497 Patton,1000 State Route 51,Patton,63662,37.5003,-90.0134,ACTIVE,0.01,-1,1.01,1
2339438,20170628|302|2|2|4410239,9/21/17,NA,2348,20OZ COFFEE REFILL,147,Hot Bev-refills (305),232,Hot Dispensed Beverage,11,116,302 Parkersburg,602 Coates St,Parkersburg,50665,42.577,-92.7869,ACTIVE,1,0.533704,0.466296,1
126643,20181015|473|2|1|3513035,1/8/19,NA,594,CAMEL CRUSH MEN SLVR 85 BX,161,Cig-premium (331),8,Cigarettes,435,230,473 Hume,101 Main St,Hume,64752,38.091,-94.5834,ACTIVE,5.01,0.36513,4.64487,1
74185,20190817|953|2|2|2344053,11/10/19,NA,9697,BLACK&M WINE WDTP  5PK,324,Domestic,320,Cigars,51,459,953 Laramie,152 N 5Th St,Laramie,82072,41.3132,-105.591,ACTIVE,5.99,1.83467,4.15533,1
498571,20171210|446|1|1|1938749,3/5/18,NA,2566,SWISHER TRPFUS 2P99 CIGRL POCH,335,Tobacco-cigarillo (962),320,Cigars,342,207,446 Bessemer,750 Academy Drive,Bessemer,35022,40.1928,-92.5812,ACTIVE,0.99,0.34028,0.64972,1
71994,20161023|219|1|1|1500134,1/16/17,NA,12367,SKOAL SNUS SMTH MNT,334,Tobacco-round Can Snuff (960),321,Smokeless (951),363,80,219 Waverly,1311 4Th St Sw,Waverly,50677,42.7121,-92.4746,CLOSED,3.59,1.49667,2.09333,1
2868683,20190517|391|2|1|7433220,8/10/19,NA,5628,LARGE FTN,152,Cold Bev-retail (311),233,Cold Dispensed Beverage,11,161,391 Hamilton,1706 Military Street South,Hamilton,35570,34.4062,-91.4074,ACTIVE,1.49,0.610297,0.879703,1
2523329,20161027|368|1|100|2845898,1/19/17,NA,19020,No Lead Plus,1,Fuel Premuim,78,Fuel,68,137,368 Harrisburg,306 State St,Harrisburg,69345,41.5565,-103.741,ACTIVE,29.9,4.194,25.706,13.98
2557308,20170304|208|1|1|1959504,5/28/17,NA,6507,LOTTO,137,Lotto (271),136,Lotto (271),2,72,208 Dewar,5916 1St St,Dewar,50623,42.5253,-92.22,ACTIVE,8,8,0,1
111699,20180519|473|1|1|3285930,8/12/18,6414.77,2576,SWISHER BLK SMTH 2P99 CIGRL POCH,335,Tobacco-cigarillo (962),320,Cigars,342,230,473 Hume,101 Main St,Hume,64752,38.091,-94.5834,ACTIVE,0.99,0.36818,0.62182,1
1699367,20180415|914|2|1|3497322,7/9/18,7670.214,456,KICKSTART ORIG UL 16OZ CAN,250,Pk Bev-csd/pop (71),243,Pop (587),448,434,914 Centennial,2221 E Arapahoe Rd,Centennial,80122,39.5957,-104.963,ACTIVE,1.99,0.84625,1.14375,1
2014794,20181004|1837|1|100|1808646,12/28/18,NA,18963,DIESELBIO,1,Fuel Premuim,78,Fuel,68,55,1837 Winfield,2575 Us Hwy 43,Winfield,35594,36.5326,-98.1534,ACTIVE,84.01,8.1327,75.8773,27.109
1885558,20170321|2731|3|1|3636254,6/14/17,NA,993,IA QUICK $50 321,138,Gaming-lottery (scratch Tickt) (272),175,Lottery (360),1575,107,2731 Alta,106 S Cherokee St,Alta,51002,42.6745,-95.3054,ACTIVE,2,0.14,1.86,1
1734017,20170607|927|1|1|2398802,8/31/17,NA,5367,KOOLEE,158,Carbonated Drinks,234,Frozen Dispensed Beverage,10,442,927 Littleton,1500 W Littleton Blvd Ste 110-E,Littleton,80120,39.6124,-105.006,ACTIVE,1,1,0,1
647757,20190424|95|1|1|3599373,7/18/19,NA,1177,IA BNS CRSSWRD 953,138,Gaming-lottery (scratch Tickt) (272),175,Lottery (360),1575,457,95 Spencer,11 E 18Th St,Spencer,51301,43.1564,-95.1451,ACTIVE,6,0.42,5.58,2
250551,20180630|292|1|1|2770690,9/23/18,NA,2738,OLD GLD GLD BX,162,Cig-discount (332),8,Cigarettes,158,112,292 Aredale,117 E Main St,Aredale,50605,42.8351,-93.0034,ACTIVE,13.1,1.90182,11.19818,2
1853847,20180507|1837|2|1|1425374,7/31/18,7185.684,10812,SIGNATURE CHKN SAND,276,Hot Food,275,Hot Sandwiches & Chicken,207,55,1837 Winfield,2575 Us Hwy 43,Winfield,35594,36.5326,-98.1534,ACTIVE,3.29,2.162,1.128,1
1907028,20190320|4923|3|2|5268268,6/13/19,NA,10059,CO $50 SERIES II CASH CANNON BNKRL BLAST 856,138,Gaming-lottery (scratch Tickt) (272),175,Lottery (360),1575,250,4923 Commerce City,7351 Magnolia St,Commerce City,80022,39.8303,-104.911,ACTIVE,50,3.5,46.5,1
1965070,20161113|887|3|1|3775415,2/6/17,NA,18953,PrepayFuel,1,Fuel Premuim,78,Fuel,68,418,887 Greenfield,100 Madison St,Greenfield,73043,35.7276,-98.3789,ACTIVE,0,NA,NA,NA
1417265,20190710|561|5|5|9104907,10/3/19,NA,10818,ADD BRKFST SSG PATTY FCS,272,Breakfast Food,271,Breakfast Sandwiches,97,296,561 Gardendale,890 Odum Road,Gardendale,35071,39.8873,-94.8933,ACTIVE,3,1.77,1.23,6
943196,20190405|368|1|2|4520445,6/29/19,6521.962,10870,CRSNT BCN EGG CHZ FCS,272,Breakfast Food,271,Breakfast Sandwiches,97,137,368 Harrisburg,306 State St,Harrisburg,69345,41.5565,-103.741,ACTIVE,4.5,2.236,2.264,2
1184589,20171019|453|2|2|3862356,1/12/18,NA,9653,JOPLIN GLOBE,114,Nwspapers,183,Newspapers,296,210,453 Butler,114 W Ohio St,Butler,64730,38.2588,-94.334,ACTIVE,1.5,0.13,1.37,1
845746,20190714|237|1|3|4016743,10/7/19,NA,12362,COPENHGN LC WNTRGRN,334,Tobacco-round Can Snuff (960),321,Smokeless (951),363,95,237 Rowley,111 Ely St,Rowley,52329,42.3701,-91.8436,ACTIVE,5.89,1.555,4.335,1
1469446,20190919|571|3|1|4451873,12/13/19,NA,10785,CHRY SLCS 9.25OZ,267,Healthy Candy,331,Candy,230,305,571 Leeds,8551 Whitfield Ave,Leeds,35094,40.3385,-95.393,ACTIVE,1.79,1.125,0.665,1
2177129,20181024|237|1|100|3615088,1/17/19,NA,18980,G87E10S,1,Fuel Premuim,78,Fuel,68,95,237 Rowley,111 Ely St,Rowley,52329,42.3701,-91.8436,ACTIVE,81.87,8.9349,72.9351,29.783
1155866,20161209|423|2|2|1806109,3/4/17,NA,15196,AR TIC TAC TRIPLER 368,138,Gaming-lottery (scratch Tickt) (272),175,Lottery (360),1575,192,423 Adamsville,2473 Hackworth Road,Adamsville,35005,34.5253,-91.3257,ACTIVE,4,0.2,3.8,2
1577885,20181101|846|3|2|5334833,1/25/19,NA,9867,BIC LGHTR BIG,194,Gen Merch-smoking Assoc (428),182,Gm/novelty,56,386,846 Ozark,1537 Hwy 231 South,Ozark,36360,35.681,-94.7605,ACTIVE,1.99,1.16507,0.82493,1
